dataset,sequence,frame,source_file,method,gt_available,evaluation_scope,evaluated_gt_files,matched_gt_files,overlay_file,mask_file,dice,iou,precision,recall,f1,object_count_error
Fluo-C3DL-MDA231,01,000,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\data\raw\Fluo-C3DL-MDA231\01\t000.tif,otsu,True,annotated_2d_planes,2,man_seg_000_013.tif;man_seg_000_019.tif,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\overlays\t000_otsu_overlay.png,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\predicted_masks\mask000.tif,0.7086287394086115,0.5487412961971077,0.6194074969770254,0.8278787878787879,0.7086287394086114,4.0
Fluo-C3DL-MDA231,01,001,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\data\raw\Fluo-C3DL-MDA231\01\t001.tif,otsu,True,annotated_2d_planes,2,man_seg_001_007.tif;man_seg_001_008.tif,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\overlays\t001_otsu_overlay.png,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\predicted_masks\mask001.tif,0.854924907353228,0.7466103427130885,0.8733561807603412,0.8372555012224939,0.854924907353228,3.0
Fluo-C3DL-MDA231,01,002,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\data\raw\Fluo-C3DL-MDA231\01\t002.tif,otsu,True,annotated_2d_planes,1,man_seg_002_019.tif,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\overlays\t002_otsu_overlay.png,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\predicted_masks\mask002.tif,0.7107107107107107,0.5512422360248447,0.728952772073922,0.693359375,0.7107107107107106,1.0
Fluo-C3DL-MDA231,01,003,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\data\raw\Fluo-C3DL-MDA231\01\t003.tif,otsu,False,not_evaluated,0,,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\overlays\t003_otsu_overlay.png,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\predicted_masks\mask003.tif,,,,,,
Fluo-C3DL-MDA231,01,004,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\data\raw\Fluo-C3DL-MDA231\01\t004.tif,otsu,True,annotated_2d_planes,2,man_seg_004_012.tif;man_seg_004_016.tif,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\overlays\t004_otsu_overlay.png,C:\Users\Anwar\Documents\Work duty\3d-cancer-cell-bioimage-ai-pipeline\reports\milestone_2\predicted_masks\mask004.tif,0.7753951721602744,0.6331799079447669,0.7207289293849658,0.8390347387960753,0.7753951721602745,3.0
